"filename", "language", "Dart", "JSON", "YAML", "JavaScript", "Markdown", "HTML", "XML", "C++", "Swift", "Groovy", "Properties", "Kotlin", "comment", "blank", "total"
"c:\Flutter Projects\truyou\lib\components\widgets\gradient_chat_profile_picture.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 53
"c:\Flutter Projects\truyou\lib\components\widgets\gradient_text.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 37
"c:\Flutter Projects\truyou\lib\components\widgets\loader.dart", "Dart", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 58
"c:\Flutter Projects\truyou\lib\components\widgets\logo.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\Flutter Projects\truyou\lib\components\widgets\match_animation.dart", "Dart", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Flutter Projects\truyou\lib\components\widgets\my_matches_card.dart", "Dart", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 109
"c:\Flutter Projects\truyou\lib\components\widgets\notification_card.dart", "Dart", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 77
"c:\Flutter Projects\truyou\lib\components\widgets\photo_card.dart", "Dart", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 65
"c:\Flutter Projects\truyou\lib\components\widgets\pledge_card.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\Flutter Projects\truyou\lib\components\widgets\role_card.dart", "Dart", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
